Iteration	Posterior	Likelihood	Prior	alpha	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	p_inv	pi[1]	pi[2]	pi[3]	pi[4]	sr[1]	sr[2]	sr[3]	sr[4]	TL
230	-1493.991	-1500.884	6.892975	3.966336	0.07697558	0.06107597	0.07332857	0.03097293	0.0931067	0.1726438	0.02696073	0.237959	0.09077845	0.03758479	0.0009963102	0.1636747	0.06683651	0.1415374	0.1386676	0.08941514	0.04920963	0.03060586	0.02743932	0.01095493	0.05885963	0.2052373	0.01822938	0.1035482	0.08330989	0.04490216	0.1132362	0.01380494	0.265909	0.1309277	0.02935506	0.1641996	0.09463709	0.06027731	0.0253589	0.04818089	0.2394199	0.128192	0.151509	0.153519	0.1806	0.293236	0.0929432	0.0498549	0.200304	0.11279	0.280889	0.406017	0.452503	0.774037	1.08441	1.68905	3.320117
240	-1501.369	-1502.349	0.9800958	8.183981	0.1037275	0.05150772	0.06026568	0.02588147	0.08707848	0.2774142	0.04373744	0.1990883	0.1491405	0.0346486	0.0009286457	0.2564972	0.1084111	0.1508248	0.1447763	0.07454624	0.05734333	0.1095331	0.03827341	0.03251141	0.06694799	0.2653472	0.008646469	0.08982263	0.04389038	0.09180208	0.137419	0.02056412	0.1528242	0.09482895	0.03875772	0.1599842	0.2023845	0.1237884	0.004868922	0.07926099	0.1023989	0.114873	0.149396	0.151378	0.185742	0.300818	0.0977944	0.02588604	0.187797	0.105747	0.263351	0.443105	0.597111	0.854506	1.07623	1.47216	3.689672
250	-1498.407	-1491.604	-6.803233	3.843135	0.07999292	0.04070736	0.1417686	0.04846022	0.06286279	0.2022203	0.06487904	0.2065231	0.1461821	0.06924877	0.0002749279	0.3035063	0.07671295	0.1010448	0.2626853	0.1179971	0.05587643	0.07193757	0.06353296	0.03035931	0.08434225	0.1713754	0.008080332	0.09443788	0.05986234	0.03134093	0.08921929	0.02543661	0.2455514	0.1349897	0.08086287	0.1426394	0.2170799	0.1181386	0.03032228	0.05621599	0.4394622	0.194001	0.139882	0.125313	0.122937	0.315349	0.102518	0.02588604	0.201718	0.113586	0.282872	0.401825	0.445532	0.769604	1.08439	1.70047	4.17613
260	-1497.541	-1497.73	0.1887395	3.568259	0.04280408	0.05435624	0.04654572	0.05102211	0.1314905	0.2596051	0.05477186	0.2059919	0.07379711	0.04674124	0.0009885453	0.213074	0.08487154	0.1275516	0.2814852	0.07685278	0.06224782	0.1060993	0.09717534	0.05277734	0.04455367	0.278612	0.00957493	0.1046376	0.05759745	0.02454856	0.07037912	0.02290654	0.1645103	0.1279027	0.05663976	0.1150509	0.1595324	0.1153941	0.01624164	0.09634319	0.2044575	0.147769	0.157066	0.155965	0.1373	0.286788	0.115113	0.02588604	0.194397	0.124977	0.272605	0.408022	0.428948	0.758818	1.08418	1.72806	3.739132
270	-1497.793	-1500.871	3.077999	3.714557	0.02948306	0.07660947	0.1685212	0.03344226	0.1315962	0.183849	0.05905282	0.1710671	0.08348917	0.02522535	0.000534228	0.2728676	0.06996492	0.1227293	0.2281467	0.1297076	0.0521249	0.0919683	0.06647427	0.05166185	0.06397401	0.2446876	0.003900611	0.08568726	0.06998222	0.02851409	0.04603035	0.02878327	0.1391713	0.1087193	0.04682218	0.1283013	0.06781455	0.1172164	0.0104333	0.05085724	0.2691431	0.148076	0.168065	0.228713	0.114217	0.234295	0.106633	0.0714373	0.206839	0.125556	0.294019	0.373586	0.437959	0.764721	1.08433	1.71299	3.558553
280	-1500.112	-1500.358	0.2462158	2.572254	0.04405086	0.05721774	0.1965087	0.02270175	0.1776936	0.1547118	0.04285118	0.1351101	0.0990914	0.03364074	0.0008582128	0.3578185	0.127475	0.1275015	0.1405203	0.0505554	0.05450529	0.07826102	0.03173692	0.025222	0.1205177	0.1498017	0.009417117	0.1141239	0.116291	0.02054539	0.1007459	0.03860993	0.1673383	0.1146494	0.06660004	0.2912134	0.07424781	0.1202649	0.005518152	0.05434276	0.2132801	0.106551	0.16942	0.116746	0.126986	0.352058	0.12824	0.01239565	0.21582	0.0994158	0.279713	0.405051	0.353202	0.704709	1.0794	1.86269	3.73554
290	-1501.292	-1500.874	-0.4180818	4.942564	0.07952212	0.1298816	0.1467391	0.07724801	0.04054731	0.1364277	0.04390802	0.1611959	0.0989393	0.03784067	0.0008166109	0.2918159	0.06607783	0.1676114	0.2995204	0.03325076	0.03460073	0.09218232	0.005899424	0.03450119	0.07878091	0.2933137	0.02919924	0.05032485	0.05193298	0.02019264	0.05009396	0.035299	0.2362412	0.1101208	0.08283152	0.1941157	0.1379472	0.08269211	0.008647782	0.06598303	0.2708152	0.137286	0.121206	0.140298	0.163726	0.31389	0.123594	0.01239565	0.20587	0.110532	0.297223	0.386376	0.499675	0.802571	1.0834	1.61435	3.777058
300	-1498.295	-1499.071	0.775981	4.850342	0.04045872	0.05124126	0.1240932	0.05492656	0.07404037	0.2744378	0.03946901	0.2122834	0.1430572	0.08252582	0.001472526	0.323646	0.05081	0.1349609	0.1856478	0.06355984	0.06032141	0.08519299	0.004174357	0.02644114	0.01727619	0.2590827	0.0609271	0.2644316	0.02370377	0.01800476	0.05135865	0.02674572	0.1698786	0.1013773	0.03724094	0.2069976	0.1057027	0.03923292	0.01459373	0.08479433	0.1883202	0.151729	0.128859	0.13886	0.147551	0.310673	0.122328	0.01397072	0.199939	0.107348	0.295404	0.397309	0.495741	0.800284	1.08355	1.62042	3.702429
310	-1491.882	-1494.827	2.944231	4.453756	0.03867052	0.07920806	0.1327364	0.006331421	0.07755722	0.1904495	0.02888128	0.247253	0.1276141	0.07689364	0.004743857	0.209804	0.05072536	0.178013	0.138277	0.08749134	0.02630473	0.0579534	0.01002099	0.01924085	0.03932535	0.2159471	0.133568	0.1242437	0.1278291	0.01229687	0.04716268	0.06238635	0.1373661	0.1604832	0.04092054	0.1461958	0.1547894	0.08377792	0.009578576	0.05373288	0.2291404	0.108636	0.150309	0.154619	0.167714	0.295786	0.122936	0.00384039	0.228534	0.111132	0.292165	0.36817	0.477676	0.789571	1.0841	1.64866	3.566914
320	-1498.828	-1497.335	-1.492617	4.929169	0.1019941	0.06369992	0.1477308	0.004817618	0.113925	0.2328601	0.04676674	0.2044814	0.1971338	0.06862655	0.01097152	0.2257773	0.09284673	0.09560049	0.1527853	0.0894671	0.04650531	0.1234717	0.005530099	0.03779578	0.153162	0.2069476	0.09124571	0.097835	0.0937709	0.004469655	0.0971605	0.02649173	0.0975661	0.1487379	0.08774387	0.07959909	0.1079315	0.1162735	0.0220425	0.06271657	0.2877351	0.166401	0.139716	0.166351	0.138321	0.27494	0.114272	0.00384039	0.162581	0.118803	0.277892	0.440724	0.499109	0.802243	1.08342	1.61522	3.844217
330	-1511.064	-1504.096	-6.967996	9.242709	0.08879495	0.05123996	0.2027009	0.004036704	0.1878416	0.1107727	0.0580237	0.1405365	0.1422915	0.05894848	0.006553207	0.2201388	0.12999	0.1203358	0.2735679	0.0851856	0.06098564	0.1795098	0.01088876	0.06978817	0.1292148	0.2408145	0.0422127	0.1078295	0.08053026	0.003107971	0.06675974	0.04622449	0.09851157	0.2107014	0.1455967	0.1528384	0.1376074	0.09511021	0.02459223	0.06795817	0.3346871	0.116624	0.147493	0.175611	0.195996	0.243644	0.120632	0.00384039	0.196406	0.105244	0.2582	0.440149	0.618267	0.864701	1.07391	1.44313	4.186428
340	-1492.736	-1494.701	1.964344	4.190944	0.05098156	0.05564457	0.1382941	0.008228016	0.1206929	0.1250857	0.02733487	0.2085345	0.1418683	0.08282282	0.00786164	0.2488038	0.1191294	0.1190357	0.09958921	0.09109492	0.06463848	0.1023233	0.02966134	0.02619984	0.1422404	0.2414061	0.09904104	0.09020078	0.02811949	0.006423774	0.07980384	0.03368665	0.1076212	0.1587176	0.1008963	0.1369599	0.1380371	0.0501125	0.0323969	0.05235482	0.2623133	0.0977386	0.149019	0.1661	0.165437	0.256199	0.165506	0.00384039	0.220031	0.11844	0.237889	0.423639	0.464554	0.781564	1.08433	1.66956	3.628157
350	-1501.965	-1504.687	2.722076	4.862817	0.0471977	0.06418086	0.1101844	0.007833113	0.229949	0.1232262	0.04254375	0.1387929	0.1529003	0.05047689	0.01258156	0.2918419	0.05187429	0.1537223	0.132812	0.03636285	0.0610971	0.07578516	0.02009356	0.0216753	0.08998894	0.1470932	0.07481946	0.06594037	0.03602404	0.00293646	0.1322671	0.07218795	0.1308251	0.1161114	0.08171615	0.1784602	0.1277981	0.06763689	0.03054991	0.1440775	0.2572344	0.106367	0.134086	0.131824	0.161535	0.341396	0.124793	0.03480377	0.226143	0.130794	0.207658	0.435406	0.496278	0.800597	1.08353	1.61959	3.580798
