Iteration	Posterior	Likelihood	Prior	alpha	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	p_inv	pi[1]	pi[2]	pi[3]	pi[4]	sr[1]	sr[2]	sr[3]	sr[4]	TL
200	-550.784	-589.4303	38.64632	1.390303	0.01505738	0.08290205	0.008333288	0.06383861	0.04374512	0.04910235	0.04154572	0.03048889	0.02654068	0.0189496	0.1099383	0.0137799	0.01763584	0.02626686	0.01003482	0.0567338	0.02529927	0.1565319	0.0927076	0.001014876	0.001015817	0.0128806	0.0133315	0.003089188	0.08368321	0.005436228	0.04331891	0.007182411	0.06076842	0.03135189	0.005915883	0.0255909	0.07284431	0.0254651	0.02612277	0.02229673	0.004792072	0.153195	0.0734919	0.0916014	0.299568	0.222277	0.159867	0.07507909	0.278104	0.228121	0.178789	0.314985	0.207868	0.569217	1.04327	2.17964	1.335533
210	-551.5293	-591.4409	39.91151	1.739919	0.01326141	0.03895036	0.007194811	0.1203124	0.07707443	0.05104969	0.04733141	0.05576013	0.02003185	0.005941254	0.03503363	0.01930511	0.008292155	0.01698974	0.01308294	0.03220189	0.0543278	0.06811392	0.1073211	0.001770655	0.00223516	0.01162204	0.007171261	0.003614586	0.07547156	0.009637293	0.04365393	0.01223765	0.08165046	0.04781822	0.01145695	0.0443273	0.03580203	0.02585125	0.02947483	0.01642886	0.004658697	0.171076	0.134021	0.102293	0.249253	0.22326	0.120097	0.06955474	0.258492	0.212033	0.149035	0.380441	0.260121	0.624163	1.06188	2.05384	1.256459
220	-556.8097	-595.6713	38.86167	7.567439	0.02296278	0.04780382	0.008132269	0.08896537	0.09771596	0.02345944	0.0244182	0.03652721	0.05928905	0.009557366	0.03274077	0.02616961	0.02463631	0.003775125	0.008496249	0.02235327	0.02553088	0.1042141	0.0967177	0.0009642666	0.003098274	0.01599864	0.005636123	0.01390206	0.04731563	0.01206198	0.04150795	0.01197417	0.08955388	0.04097656	0.006342718	0.08492746	0.06873063	0.04971415	0.04476899	0.01779149	0.003343199	0.141168	0.121615	0.171532	0.220889	0.201773	0.143024	0.08730271	0.280919	0.230429	0.19395	0.294702	0.583004	0.847508	1.07764	1.49185	1.322074
230	-551.697	-592.5664	40.8694	3.108173	0.0390487	0.04089794	0.008145316	0.03985661	0.02515112	0.01316405	0.02232549	0.03390431	0.01558783	0.004355001	0.1003994	0.02118113	0.05485198	0.005577024	0.002818757	0.06024694	0.04107984	0.04440968	0.104857	0.001513245	0.01592596	0.01344814	0.008795176	0.02554792	0.06527991	0.03555984	0.07940163	0.002684686	0.04862065	0.0287236	0.004906678	0.094036	0.03828172	0.01406251	0.02646643	0.013221	0.002256994	0.118474	0.038073	0.144414	0.225586	0.289285	0.184167	0.06734932	0.272022	0.201499	0.214567	0.311913	0.397461	0.737347	1.083	1.78219	1.19659
240	-546.07	-587.6624	41.59239	2.263544	0.04822734	0.05692509	0.01647466	0.07021848	0.04083641	0.00702789	0.02307069	0.004360463	0.00478752	0.01108305	0.06476315	0.01617223	0.06219361	0.00696938	0.008316489	0.09266637	0.04545885	0.1031902	0.08085334	0.0004965931	0.01240801	0.009530262	0.009166706	0.01021602	0.06574941	0.006867075	0.04899022	0.0100542	0.04367304	0.008287048	0.003321085	0.03542074	0.04557954	0.01445467	0.03740482	0.02364201	0.002547323	0.209302	0.0481373	0.164947	0.223477	0.166865	0.187272	0.04530929	0.280204	0.246374	0.162661	0.31076	0.322827	0.6804	1.07537	1.9214	1.151404
250	-538.4934	-580.9729	42.47953	1.80132	0.0265972	0.06139609	0.02805748	0.07168738	0.03473409	0.00467922	0.05535615	0.01942552	0.009815154	0.01407664	0.05010482	0.01683839	0.04671654	0.008637669	0.002539219	0.06049257	0.01092982	0.08462955	0.08826697	0.0008338632	0.008022925	0.02037078	0.006024712	0.01029669	0.03463393	0.002448095	0.02662444	0.003657533	0.1396602	0.006950182	0.004421289	0.03313853	0.04137221	0.02642083	0.01241613	0.01764067	0.006044213	0.156255	0.0342982	0.249555	0.132756	0.246964	0.180172	0.09459544	0.283558	0.27701	0.19657	0.242862	0.268347	0.632074	1.06412	2.03546	1.095958
260	-541.6554	-583.9203	42.26495	7.694139	0.004454412	0.08690816	0.0288811	0.06804283	0.03122549	0.009605599	0.03500979	0.08437687	0.007104956	0.01794299	0.04956059	0.006598852	0.01618961	0.008963004	0.005043035	0.02389182	0.02417931	0.1116688	0.0919418	0.0002290392	0.004028586	0.005142446	0.0129043	0.01608932	0.06932902	0.003110714	0.04539329	0.004929377	0.1015667	0.01398667	0.001865441	0.01699002	0.04559315	0.0253173	0.01669305	0.009681341	0.004930064	0.17646	0.0333105	0.130695	0.203958	0.252106	0.20347	0.07194445	0.280273	0.27533	0.203007	0.24139	0.586026	0.849021	1.07734	1.48761	1.109369
270	-532.0411	-576.1108	44.0697	7.787172	0.008080141	0.06530174	0.01040024	0.03180925	0.00906175	0.006029753	0.06032925	0.03756727	0.01735021	0.009772054	0.06903507	0.004254423	0.0601218	0.00653834	0.009805898	0.02743667	0.03913677	0.08456373	0.06994346	0.0002389673	0.005941642	0.003437464	0.0147128	0.01973318	0.03776926	0.0008546862	0.05549475	0.007045797	0.04952534	0.0048564	0.005639352	0.05118893	0.0514715	0.0172226	0.01862678	0.01649481	0.009779708	0.145506	0.0469847	0.158028	0.149306	0.322979	0.177195	0.07194445	0.262365	0.202858	0.228057	0.30672	0.588203	0.850106	1.07713	1.48456	0.9965718
280	-543.2115	-584.6171	41.40566	1.527149	0.006355289	0.0325877	0.02176953	0.05459415	0.03303384	0.01666127	0.05290188	0.04428823	0.0120758	0.02377855	0.05658023	0.006630238	0.02734769	0.0183519	0.02222278	0.03614765	0.06655487	0.08074953	0.1113194	0.0003718823	0.009472177	0.001198875	0.007251665	0.03156874	0.02008342	0.001143744	0.02495905	0.006518172	0.1231267	0.003407881	0.005509102	0.06038673	0.04918971	0.01822529	0.032552	0.03774214	0.006416734	0.119974	0.0702063	0.144732	0.235874	0.165149	0.264065	0.02218728	0.322923	0.280617	0.118485	0.277975	0.229486	0.593014	1.05198	2.12552	1.163075
290	-542.1565	-584.2464	42.08996	1.625567	0.01003052	0.03948084	0.0260262	0.1532333	0.03727378	0.01298712	0.05948876	0.04937084	0.008795406	0.005803431	0.03377541	0.01518143	0.008878696	0.02555396	0.02148944	0.02517581	0.1082929	0.06250115	0.09167807	0.0007181987	0.003359897	0.001836461	0.01280511	0.0249248	0.03430596	0.001022125	0.01376921	0.02240343	0.04407748	0.003813137	0.00442068	0.08000266	0.01754495	0.02934281	0.01054291	0.01681643	0.003582005	0.173765	0.0898133	0.171938	0.192492	0.239195	0.132797	0.01304406	0.285388	0.278271	0.153953	0.282388	0.244085	0.608205	1.05702	2.09069	1.120305
